iter	Passed	Remaining
0	4	2315
1	8	2173
2	12	2031
3	15	1926
4	18	1839
5	21	1764
6	24	1706
7	27	1660
8	29	1617
9	32	1592
10	35	1566
11	38	1546
12	41	1541
13	43	1523
14	46	1504
15	49	1489
16	52	1480
17	55	1477
18	57	1464
19	60	1450
20	63	1440
21	65	1432
22	68	1426
23	71	1418
24	74	1416
25	77	1413
26	80	1406
27	83	1400
28	85	1391
29	88	1385
30	91	1379
31	93	1374
32	96	1369
33	99	1365
34	102	1359
35	105	1359
36	108	1353
37	110	1347
38	113	1343
39	116	1340
40	119	1336
41	122	1331
42	124	1327
43	127	1324
44	130	1319
45	133	1315
46	136	1311
47	138	1307
48	141	1305
49	145	1306
50	148	1304
51	150	1300
52	153	1296
53	156	1292
54	159	1288
55	162	1285
56	164	1281
57	167	1278
58	170	1278
59	173	1275
60	177	1277
61	182	1291
62	186	1296
63	190	1300
64	195	1305
65	198	1307
66	203	1316
67	207	1319
68	211	1321
69	214	1319
70	217	1316
71	220	1313
72	223	1309
73	226	1305
74	229	1302
75	232	1298
76	235	1294
77	238	1290
78	241	1287
79	244	1284
80	247	1282
81	250	1277
82	253	1273
83	256	1270
84	259	1266
85	262	1262
86	265	1258
87	268	1257
88	271	1254
89	274	1250
90	277	1247
91	280	1242
92	283	1239
93	286	1235
94	288	1231
95	291	1226
96	294	1223
97	297	1221
98	300	1218
99	304	1217
100	308	1219
101	312	1221
102	316	1220
103	320	1220
104	323	1216
105	326	1213
106	329	1210
107	332	1206
108	335	1202
109	338	1198
110	340	1194
111	343	1189
112	346	1185
113	348	1181
114	351	1177
115	354	1173
116	357	1170
117	360	1166
118	363	1162
119	366	1159
120	368	1155
121	371	1151
122	374	1148
123	377	1145
124	380	1141
125	383	1137
126	386	1134
127	389	1130
128	391	1126
129	394	1123
130	397	1119
131	400	1115
132	402	1111
133	405	1108
134	408	1105
135	411	1101
136	414	1098
137	417	1095
138	420	1091
139	422	1087
140	425	1083
141	428	1080
142	431	1076
143	433	1071
144	436	1067
145	438	1063
146	440	1058
147	443	1055
148	446	1051
149	448	1047
150	451	1043
151	454	1039
152	456	1035
153	459	1032
154	462	1029
155	464	1025
156	467	1021
157	470	1017
158	472	1013
159	475	1010
160	478	1006
161	480	1003
162	483	999
163	485	995
164	488	991
165	491	988
166	493	984
167	496	981
168	499	977
169	501	974
170	504	970
171	507	967
172	509	963
173	512	959
174	514	956
175	517	952
176	520	949
177	522	946
178	525	942
179	528	938
180	530	935
181	533	932
182	536	928
183	538	924
184	541	921
185	543	917
186	546	914
187	548	910
188	551	907
189	553	903
190	556	900
191	559	897
192	561	893
193	564	890
194	567	887
195	569	883
196	572	880
197	575	877
198	578	874
199	581	871
200	584	868
201	586	865
202	589	862
203	592	859
204	594	855
205	597	852
206	599	849
207	602	845
208	605	842
209	607	839
210	610	835
211	612	832
212	615	828
213	617	825
214	620	822
215	623	819
216	625	816
217	628	812
218	630	809
219	633	806
220	636	803
221	639	800
222	641	797
223	644	794
224	646	790
225	649	787
226	652	784
227	654	781
228	657	777
229	659	774
230	662	771
231	665	768
232	667	765
233	670	761
234	672	758
235	675	755
236	678	753
237	682	750
238	685	748
239	688	745
240	691	743
241	694	740
242	698	738
243	701	735
244	704	733
245	707	730
246	711	728
247	713	725
248	717	722
249	720	720
250	723	717
251	726	714
252	729	711
253	732	709
254	735	706
255	738	703
256	741	700
257	743	697
258	746	694
259	749	691
260	751	688
261	754	685
262	757	682
263	759	679
264	762	676
265	765	673
266	767	669
267	770	666
268	772	663
269	775	660
270	778	657
271	780	654
272	783	651
273	786	648
274	789	645
275	791	642
276	794	639
277	797	636
278	799	633
279	802	630
280	804	627
281	807	624
282	810	621
283	813	618
284	815	615
285	818	612
286	821	609
287	823	606
288	826	603
289	828	600
290	831	597
291	834	594
292	836	591
293	839	587
294	841	584
295	844	581
296	846	578
297	849	575
298	852	572
299	854	569
300	857	566
301	859	563
302	862	560
303	865	557
304	867	554
305	870	551
306	873	548
307	875	545
308	878	542
309	880	539
310	884	537
311	887	534
312	890	532
313	893	529
314	896	526
315	899	523
316	902	520
317	905	518
318	908	515
319	912	513
320	916	510
321	919	508
322	922	505
323	925	502
324	928	499
325	930	496
326	933	494
327	937	491
328	940	488
329	943	486
330	946	483
331	950	480
332	952	477
333	955	474
334	958	472
335	961	469
336	964	466
337	967	463
338	970	460
339	973	458
340	976	455
341	978	452
342	981	449
343	984	446
344	987	443
345	990	440
346	992	437
347	995	434
348	998	431
349	1001	429
350	1003	426
351	1006	423
352	1009	420
353	1012	417
354	1015	414
355	1018	411
356	1020	408
357	1023	406
358	1026	403
359	1029	400
360	1032	397
361	1035	394
362	1038	391
363	1041	388
364	1043	386
365	1046	383
366	1049	380
367	1051	377
368	1054	374
369	1057	371
370	1060	368
371	1062	365
372	1065	362
373	1068	359
374	1071	357
375	1074	354
376	1077	351
377	1080	348
378	1083	345
379	1087	343
380	1090	340
381	1094	338
382	1098	335
383	1101	332
384	1104	330
385	1108	327
386	1111	324
387	1114	321
388	1118	319
389	1121	316
390	1124	313
391	1128	310
392	1131	308
393	1135	305
394	1138	302
395	1141	299
396	1144	297
397	1148	294
398	1151	291
399	1155	288
400	1158	285
401	1161	283
402	1165	280
403	1169	277
404	1172	275
405	1175	272
406	1179	269
407	1182	266
408	1186	263
409	1189	261
410	1193	258
411	1196	255
412	1199	252
413	1202	249
414	1206	247
415	1209	244
416	1212	241
417	1215	238
418	1217	235
419	1220	232
420	1223	229
421	1226	226
422	1228	223
423	1231	220
424	1234	217
425	1237	214
426	1239	211
427	1242	209
428	1244	206
429	1247	203
